分类名称,新闻字符串
news_world,科学家警告：“害虫杂交群”威胁全球农作物
news_finance,企业“走出去”有了更多公共服务
news_edu,大专毕业多年，2018年入学成人本科，本科毕业后，能否参加司法考试？
news_sports,历史第一！C罗将迎来欧冠金靴六连霸！
news_sports,今日二串：世界杯之战，就是本彩店决定胜负，因为他看的出结果
news_culture,上联：长江珠江潘长江，如何对下联？
news_world,沙特石油什么时候会被抽空枯竭？
news_edu,英国大学这招断了中国留学生的后路：挂科托人管用吗？
news_car,全面“开花结果”？吉利拥有七款销量破万的得力干将
news_sports,山东高速称凯撒成绩达标，将进行续约谈判，你怎么看？
news_house,我来向大家揭秘，内地某大房产中介是如何自己炒房的。
news_tech,原来WiFi网速慢，可能有人在蹭网，用手机马上查看蹭网者，快试试
news_tech,vivo新款旗舰曝光：6.28寸刘海屏+联发科P60！
news_game,王者荣耀：杀敌千里之外，这些英雄手长的不可思议，堪称移动98K
news_house,房子漏水，物业不管，该怎么办？
news_culture,怎么写好散文？
news_tech,张瑞敏：海尔在很多国家建品牌，有的赔了不止8年但非常必要
news_world,全世界敢于和美国对着干的国家是会越来越多，还是越来越少？
news_tech,京东上的二手iphone6怎么样？
news_finance,MSCI反弹行情已经开启 几个细节你需要知晓
news_military,直-18降落国产航母 海试前最后准备？
news_world,美军炸中国大使馆真实内幕：为炸掉F-117残骸
news_car,海外试驾宝马X7原型车：它不是一辆加大号X5
news_tech,对标小米 OPPO在印推出全新子品牌realme
news_game,LPL美女裁判微博终于找到？本人害怕微博遭沦陷而关闭评论
news_edu,小学女教师戒尺体罚女生 学校：已和解 教师被辞退
news_tech,荣耀MagicBook能让华为的PC业务像手机那样成功吗？
news_tech,10日数码热点：华为P20系列墨西哥迎来首销，P20 Pro 3小时售罄
news_tech,如何评价阿里巴巴5月4日发布的2018年财年Q4及全年财报？
news_game,王者荣耀职业战队五排和路人五排有什么区别？
news_agriculture,水车镇大窝水库污染严重
news_world,民航早报：英国航空申请湿租卡塔尔航空A330
news_military,200年前，这支军队战斗力全国第一，200年后，只能沦为三流
news_edu,「英语」第1期——外贸常用英语
news_entertainment,《人民的名义》一年了，“躺红”陈海局长有话说
news_finance,居然上市了，真没想到
news_tech,小米上市千亿估值，将有上千人一夜暴富
news_edu,请问复旦大学和浙江大学，哪个强一点？
news_military,中国海军最新建造的海洋水声监视船927型
news_edu,考前必备：行测各模块快速蒙题技巧大全！
news_entertainment,新科奥斯卡影帝加盟犯罪片 携手《移动迷宫》男主
news_military,从人类的角度来看，核武应不应该被研究出来？
news_edu,本科生、研究生、博士生其中待遇最尴尬的就是研究生，你觉得是吗？
news_entertainment,有哪些电视剧第一眼不好看，后面熬夜也要看完？
news_car,众泰T3001.5手动豪华落地多少钱？
news_agriculture,2018年下半年猪价将有小幅反弹，未来生猪养殖迎来新一轮洗牌
news_military,“两把钥匙”隔空喊话《纲要》集训的这段芳华
news_culture,出句：林中小鸟自出没，怎么对？
news_travel,稻城亚丁——你是我从全世界路过，也不愿错过的风景
news_culture,上联：桃花问柳何时绿，有哪些下联？
news_tech,你们买的mate9怎么样了？下次还会再买华为吗？
news_game,《终结者2》跨界盘点 携手十大品牌开拓吃鸡战场
news_finance,“大盛会”少不了“好邻居” 东盟10国几乎都要来进口博览会
news_story,别得罪小人物（民间故事）
news_car,家用车就买这款，发动机60万公里无大修，动力还很充沛，只要4万
news_story,曾被视为废人，却在危难来临时，救了整个家族
news_culture,以前看过一本书《荒原》，它和《白鹿原》的情节简直一模一样，哪个才是正版？
news_military,西安城墙无人机表演失误 执飞方：受到定向干扰
news_car,机动车与行人发生交通事故的责任承担规则
news_tech,尼康是不是要退出了呢？
news_world,马来西亚首次政党轮替 今明两天定为公共假日
news_car,荣威品牌四阶进化，RX8如何演绎“居中”豪华？
news_edu,水利强校：河海大学，历年高考录取投档线盘点，勋哥志愿填报指导
news_travel,旅行教会了你什么？
news_tech,淘宝如何做到上千流量？
news_tech,小苹果大品牌 首农物流联合威海市政府打造高端苹果产业链
news_finance,刘强东：我就想融100万，把哥几个的工资发了！
news_house,触目惊心！炒房团是怎么在短期内把三线城市房价炒高两三倍的！
news_entertainment,好莱坞7位惊世美男也禁不住岁月的琢磨
news_finance,怎样自学金融学？
news_tech,一部国产手机一般能用几年？
news_house,买房之前先把这几点搞清楚，不然买完真的亏大了
news_culture,鲁迅文章的中心思想是什么内容？
news_tech,现在有比三星s9+拍照更好的手机吗？
news_culture,元代｜鲜于枢《醉时歌等唐人诗十二首》，鲜氏为元代书坛“巨擘”
news_car,司机必备~这个停车电话号码牌，颜值超高还能防骚扰！
news_culture,方舟子说象棋源自印度，中国古代没有大象，你认为这种说法怎么样？
news_sports,山东男篮补强阵容，三名球员成首选，能否成功看这点！
news_agriculture,得冻害后的小麦出的新穗，成活率高吗？
news_military,军舰的副炮拦截导弹目标要近距离才拦截吗，为什么不能远距离就拦截？
news_entertainment,《亮剑》朱子明为何会背叛李云龙，难道真的只因为怕死吗？
news_tech,手机乱扣费套路大起底
news_world,李克强在纪念中日和平友好条约缔结40周年招待会上的演讲
news_house,贵州一个小县城的老师，参加工作一年半，工资到手3250加绩效12000算不算低？
news_world,钢铁侠原版服装神秘失窃！美国警方：价值近207万
news_edu,河北人有多重视孩子的教育？
news_finance,160亿美元！沃尔玛拿下印度第一大电商Flipkart，股价却大跌5%
news_travel,为什么有些人喜欢一个人旅行？
news_game,LOL：麻辣香锅韩服Rank不合成打野刀？电刀巨魔新套路连胜中
news_world,站在越南街头十分钟，你会佩服他们的车技
news_sports,比杜兰特还豪气！汤神为留勇士主动降薪5000万，但热脸贴冷屁股！
news_tech,冬兵的机械手臂是什么金属做的？
news_sports,金州勇士、皇家马德里，谁在世界上影响力大？
news_sports,女乒历史上，邓亚萍、王楠、张怡宁谁的巅峰统治力更强？
news_world,你支持特朗普再度竞选总统吗？为什么？
news_tech,微信中还有隐藏浏览器？很多人没注意到，真是太实用了！
news_house,特朗普所做的一切会不会只是为了自己的商业帝国？
news_travel,休闲、康体、运动、观光——寻龙山2日自驾之旅
news_edu,没有爱，就没有教育！江门开平一幼儿园收到家长亲笔写的“情书”
news_travel,丽江纳西族妹子真的以黑为美，以胖为贵
news_tech,全球区块链每日快讯头条(2018.5.11)
news_game,IPS、VA、TN屏构造和优缺点对比
news_military,韩美举行联合空中作战演习 首次出动8架F-22战机
news_world,怎么看待以色列妄图建立“中东超级联盟”围剿伊朗？
news_finance,十亿赌约即将到期，董明珠和雷军谁会赢？
news_travel,南京小吃街叫什么？
news_sports,登贝莱一人独造三球，梅开二度，展现出超强的个人能力，怎么评价他的发挥？
news_edu,566实验报名首日！材料备齐
news_world,亚洲人别来了？悉尼购物中心现种族歧视海报引关注
news_world,普京为什么要离婚？
news_car,国产争气了！仅卖40万的性能超跑亮相，迈凯伦都得吓一跳！
news_entertainment,一张臃肿照牵出陈年旧事，张檬被指插足军婚，刘雨欣微博怒撕！
news_travel,猪肚鸡最正宗和最简单的做法是什么？
news_travel,"浙江这里被誉为""天下第一奇景""，山都要被挖空了，你知道是哪吗？"
news_game,5月8号英雄联盟msi，越南EVS首局击败SUP，怎么评价本局比赛？
news_agriculture,看似像草莓却有毒，但它有治疗“咽喉肿痛”的功效
news_entertainment,贾静雯说咘咘五个月就叫妈妈，奶奶不相信，要咘咘叫声听听
news_world,如果日本沉没，中国会接收日本难民吗？
news_entertainment,阚清子自爆私照，却自我嘲讽不断？
news_military,拿破仑为何能预言百年后的中国崛起？
news_military,为什么法国在两次世界大战中的表现截然相反？
news_tech,QQ软件出现BUG，QQ要关闭了？
stock,何享健卖“美的”，为何急于这11亿？
news_military,俄在叙一架卡-52直升机坠毁 疑似被武装分子击落
news_entertainment,林嘉绮出席发布会，网友：这身段，试问娱乐圈中还有谁能与之媲美
news_edu,2019MPAcc考研：199管理类联考都考什么？
news_car,新能源、燃油车双线飘红 比亚迪4月销量劲增20%
news_edu,初中3年数学次次150，这10个口诀天天记10遍！
news_sports,火箭vs勇士G1：战西决，火密：早晚被淘汰不如现在放手就干！
news_game,游戏世界：早期一款空战游戏，大小仅有6兆却精美无比快来看看吧
news_edu,鼓楼购买教育服务 降低保教费
news_travel,创造性的自然奇妙景观不敢说包罗万象，特别多则毫无疑问
news_game,英雄联盟给你一个女朋友，你挑谁？
news_edu,一年级数学期末复习资料：口算题、借十法、应用题、思维训练
news_car,滴滴为何要派单到两公里左右的地方去接客人，而为何不就近派单
news_agriculture,农民打了除草剂，为什么草死了而庄稼不死？原来是这3个原因
news_game,王者荣耀体验服5.9更新：李白韩信调整，露娜重新上线测试
news_tech,为什么有的人宁愿选择骁龙660的X21，也不买骁龙845的小米MIX2S？
news_tech,有哪些相见恨晚的在线网站？
news_sports,世锦赛夺冠后放飞自我了！马克-威廉姆斯仅裹浴巾出席发布会
news_military,二战中为何除美国外，其余各国都没有大规模列装半自动步枪以取代传统手动步枪？
news_entertainment,除了胖哥梁冠华，《神探狄仁杰》里还有这些人也是国家一级演员
news_sports,詹姆斯率队横扫，赛后首先拥抱他！猛龙众生相让人心疼，真核消失
news_car,新手开名爵应该注意什么？
news_sports,哈利足球梦想奇幻夜之一封战书
news_car,颜值是缤智10倍，全系标配8英寸大屏，1.5L售12万，后悔买宝骏510
news_agriculture,安徽合肥大圩镇：“葡萄+体育”领跑致富路
news_edu,5月12、13日长春各高中开放日都在哪儿？
news_car,西安大唐不夜城，如今变成诗歌一条街，引人入胜
